CPU Name,Cores,CPU Mark,Thread Mark,TDP (W),Socket,Category
Intel Xeon Gold 6438N,32,"52,789","2,315",205,FCLGA4677,Server
Intel Xeon Gold 6438Y+,32,"62,660","3,106",205,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6438Y+,32,"94,596","3,279",205,FCLGA4677,Server
Intel Xeon Gold 6442Y,24,"58,534","3,268",225,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6442Y,24,"92,289","3,142",225,FCLGA4677,Server
Intel Xeon Gold 6444Y,16,"47,176","3,283",270,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6444Y,16,"74,635","3,271",270,FCLGA4677,Server
Intel Xeon Gold 6448H,32,"70,280","3,296",250,FCLGA4677,Server
[Quad CPU] Intel Xeon Gold 6448H,32,"123,361","2,664",250,FCLGA4677,Server
Intel Xeon Gold 6448Y,32,"60,449","2,686",225,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6448Y,32,"100,642","3,065",225,FCLGA4677,Server
Intel Xeon Gold 6450C,30,"38,571","1,729",122,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6454S,32,"85,725","2,355",270,FCLGA4677,Server
Intel Xeon Gold 6526Y,16,"43,018","3,027",195,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6526Y,16,"66,621","2,936",195,FCLGA4677,Server
Intel Xeon Gold 6530,32,"45,989","2,116",270,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6530,32,"91,769","2,898",270,FCLGA4677,Server
Intel Xeon Gold 6534,8,"29,786","3,439",195,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6534,8,"49,848","3,224",195,FCLGA4677,Server
Intel Xeon Gold 6538N,32,"44,895","1,725",205,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6538Y+,32,"96,953","2,834",225,FCLGA4677,Server
Intel Xeon Gold 6542Y,24,"60,144","3,087",250,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6542Y,24,"95,662","3,054",250,FCLGA4677,Server
Intel Xeon Gold 6544Y,16,"51,181","3,346",270,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6544Y,16,"78,618","3,166",270,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6548N,32,"72,978","2,609",250,FCLGA4677,Server
Intel Xeon Gold 6548Y+,32,"73,387","3,165",205,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6548Y+,32,"98,717","3,095",205,FCLGA4677,Server
Intel Xeon Gold 6554S,36,"50,777","1,802",270,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6554S,36,"110,835","3,267",270,FCLGA4677,Server
Intel Xeon L3110 @ 3.00GHz,2,"1,338","1,279",45,LGA775,Server
Intel Xeon L3360 @ 2.83GHz,4,"2,412","1,224",65,LGA775,Server
Intel Xeon L3406 @ 2.27GHz,2,"1,104",760,30,LGA1156,Server
Intel Xeon L3426 @ 1.87GHz,4,"2,742","1,259",45,LGA1156,Server
Intel Xeon L5240 @ 3.00GHz,2,"1,337","1,299",40,LGA771,Server
Intel Xeon L5310 @ 1.60GHz,4,"1,385",662,50,LGA771,Server
Intel Xeon L5320 @ 1.86GHz,4,"1,118",281,50,LGA771,Server
Intel Xeon L5335 @ 2.00GHz,4,"1,737",822,50,LGA771,Server
Intel Xeon L5408 @ 2.13GHz,4,"1,769",936,40,LGA771,Server
Intel Xeon L5410 @ 2.33GHz,4,"1,853","1,007",50,LGA771,Server
[Dual CPU] Intel Xeon L5410 @ 2.33GHz,4,"3,944","1,009",50,LGA771,Server
Intel Xeon L5420 @ 2.50GHz,4,"2,143","1,100",50,LGA771,Server
[Dual CPU] Intel Xeon L5420 @ 2.50GHz,4,"4,251","1,099",50,LGA771,Server
Intel Xeon L5430 @ 2.66GHz,4,"2,260","1,154",50,LGA771,Server
[Dual CPU] Intel Xeon L5430 @ 2.66GHz,4,"4,269","1,131",50,LGA771,Server
[Dual CPU] Intel Xeon L5506 @ 2.13GHz,4,"4,019",967,60,LGA1366,Server
Intel Xeon L5520 @ 2.27GHz,4,"2,319","1,019",60,LGA1366,Server
[Dual CPU] Intel Xeon L5520 @ 2.27GHz,4,"4,561",969,60,LGA1366,Server
Intel Xeon L5530 @ 2.40GHz,4,"2,522","1,169",60,LGA1366,Server
Intel Xeon L5609 @ 1.87GHz,4,"3,298","1,160",40,LGA1366,Server
Intel Xeon L5630 @ 2.13GHz,4,"3,048","1,024",40,LGA1366,Server
[Dual CPU] Intel Xeon L5630 @ 2.13GHz,4,"5,267",964,40,LGA1366,Server
Intel Xeon L5638 @ 2.00GHz,6,"3,707",862,60,LGA1366,Server
[Dual CPU] Intel Xeon L5638 @ 2.00GHz,6,"7,217",944,60,LGA1366,Server
Intel Xeon L5639 @ 2.13GHz,6,"4,419","1,102",60,LGA1366,Server
[Dual CPU] Intel Xeon L5639 @ 2.13GHz,6,"5,768","1,010",60,LGA1366,Server
Intel Xeon L5640 @ 2.27GHz,6,"4,659","1,107",60,LGA1366,Server
[Dual CPU] Intel Xeon L5640 @ 2.27GHz,6,"8,633","1,162",60,LGA1366,Server
Intel Xeon L7455 @ 2.13GHz,6,"2,494",601,65,PGA604,Server
Intel Xeon Max 9480,56,"82,913","2,674",350,FCLGA4677,Server
[Dual CPU] Intel Xeon Max 9480,56,"111,213","2,528",350,FCLGA4677,Server
[Dual CPU] Intel Xeon MP 3.00GHz,1,580,607,85,PPGA603,Server
Intel Xeon MV 3.20GHz,2,756,546,90,mPGA604,Server
Intel Xeon Phi 7210 @ 1.30GHz,64,"7,306",460,215,SVLCLGA3647,Server
Intel Xeon Phi 7290 @ 1.50GHz,72,"17,839",485,245,SVLCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 6162 @ 1.90GHz,24,"43,085","1,827",150,FCLGA3647,Server
Intel Xeon Platinum 8124M @ 3.00GHz,18,"24,952","2,085",NA,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8124M @ 3.00GHz,18,"48,421","2,026",NA,FCLGA3647,Server
Intel Xeon Platinum 8151 @ 3.40GHz,12,"16,208","2,372",NA,Unknown,Server
[Dual CPU] Intel Xeon Platinum 8151 @ 3.40GHz,12,"43,342","2,406",NA,Unknown,Server
[Dual CPU] Intel Xeon Platinum 8153 @ 2.00GHz,16,"27,205","1,623",125,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8156 @ 3.60GHz,4,"16,566","2,210",105,FCLGA3647,Server
Intel Xeon Platinum 8160 @ 2.10GHz,24,"29,419","2,066",150,FCLGA3647,Server
[Quad CPU] Intel Xeon Platinum 8160 @ 2.10GHz,24,"72,905","2,379",150,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8160 @ 2.10GHz,24,"48,190","2,010",150,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8160M @ 2.10GHz,24,"53,398","2,217",150,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8163 @ 2.50GHz,24,"44,913","1,805",NA,FCLGA3647,Server
Intel Xeon Platinum 8167M @ 2.00GHz,26,"24,751","1,445",NA,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8167M @ 2.00GHz,26,"39,275","1,423",NA,FCLGA3647,Server
Intel Xeon Platinum 8168 @ 2.70GHz,24,"32,373","2,097",205,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8168 @ 2.70GHz,24,"53,121","2,030",205,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8170 @ 2.10GHz,26,"48,217","2,084",165,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8170M @ 2.10GHz,26,"49,539","1,915",165,FCLGA3647,Server
Intel Xeon Platinum 8171M @ 2.60GHz,26,"29,613","2,122",165,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8171M @ 2.60GHz,26,"54,765","2,135",165,FCLGA3647,Server
Intel Xeon Platinum 8173M @ 2.00GHz,28,"28,025","2,058",165,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8173M @ 2.00GHz,28,"45,957","1,746",165,FCLGA3647,Server
Intel Xeon Platinum 8175M @ 2.50GHz,24,"26,659","1,903",NA,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8175M @ 2.50GHz,24,"44,993","1,507",NA,FCLGA3647,Server
Intel Xeon Platinum 8176 @ 2.10GHz,28,"23,179","2,048",165,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8176 @ 2.10GHz,28,"54,087","2,109",165,FCLGA3647,Server
[Quad CPU] Intel Xeon Platinum 8176M @ 2.10GHz,28,"88,102","2,379",165,FCLGA3647,Server
Intel Xeon Platinum 8180 @ 2.50GHz,28,"38,259","2,142",205,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8180 @ 2.50GHz,28,"53,399","2,205",205,FCLGA3647,Server
Intel Xeon Platinum 8180M @ 2.50GHz,28,"30,313","1,916",205,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8180M @ 2.50GHz,28,"55,092","2,170",205,FCLGA3647,Server
[Quad CPU] Intel Xeon Platinum 8180M @ 2.50GHz,28,"47,049","1,184",205,FCLGA3647,Server
Intel Xeon Platinum 8252C @ 3.80GHz,12,"28,147","2,700",NA,Unknown,Server
[Dual CPU] Intel Xeon Platinum 8252C @ 3.80GHz,12,"48,958","2,689",NA,Unknown,Server
[Dual CPU] Intel Xeon Platinum 8253 @ 2.20GHz,16,"30,507","1,754",125,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8255C @ 2.50GHz,24,"58,130","2,322",165,LGA 3647,Server
[Dual CPU] Intel Xeon Platinum 8256 @ 3.80GHz,4,"16,787","2,336",105,FCLGA3647,Server
Intel Xeon Platinum 8259CL @ 2.50GHz,24,"31,403","1,948",210,LGA 3647,Server
[Dual CPU] Intel Xeon Platinum 8259CL @ 2.50GHz,24,"54,380","2,054",210,LGA 3647,Server
Intel Xeon Platinum 8260 @ 2.40GHz,24,"30,720","2,162",165,FCLGA3647,Server
[Quad CPU] Intel Xeon Platinum 8260 @ 2.40GHz,24,"83,793","2,297",165,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8260 @ 2.40GHz,24,"51,134","2,078",165,FCLGA3647,Server
Intel Xeon Platinum 8260C @ 2.40GHz,24,"34,420","2,203",NA,FCLGA3647,Server
Intel Xeon Platinum 8260M @ 2.30GHz,24,"33,970","2,315",165,LGA3647,Server
[Dual CPU] Intel Xeon Platinum 8260M @ 2.30GHz,24,"55,297","2,472",165,LGA3647,Server
Intel Xeon Platinum 8260M @ 2.40GHz,24,"34,592","2,320",165,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8260M @ 2.40GHz,24,"55,438","2,320",165,FCLGA3647,Server
Intel Xeon Platinum 8268 @ 2.90GHz,24,"35,734","2,189",205,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8268 @ 2.90GHz,24,"59,851","2,267",205,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8269CY @ 2.50GHz,26,"56,330","2,157",NA,FCLGA3647,Server
Intel Xeon Platinum 8270 @ 2.70GHz,26,"33,602","2,323",205,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8270CL @ 2.70GHz,26,"55,854","2,341",205,FCLGA3647,Server
Intel Xeon Platinum 8273CL @ 2.20GHz,28,"37,320","2,200",165,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8273CL @ 2.20GHz,28,"53,031","2,015",165,FCLGA3647,Server
Intel Xeon Platinum 8275CL @ 3.00GHz,24,"40,794","2,386",NA,Unknown,Server
[Dual CPU] Intel Xeon Platinum 8275CL @ 3.00GHz,24,"66,812","2,375",NA,Unknown,Server
[Dual CPU] Intel Xeon Platinum 8276L @ 2.20GHz,28,"60,188","2,427",NA,Unknown,Server
Intel Xeon Platinum 8280 @ 2.70GHz,28,"36,830","2,149",205,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8280 @ 2.70GHz,28,"63,232","2,279",205,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8280L @ 2.70GHz,28,"64,076","2,364",205,FCLGA3647,Server
[Quad CPU] Intel Xeon Platinum 8280L @ 2.70GHz,28,"62,558","1,963",205,FCLGA3647,Server
Intel Xeon Platinum 8280M @ 2.70GHz,28,"37,665","2,282",205,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8280M @ 2.70GHz,28,"52,021","2,244",205,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8336C,32,"74,875","2,054",230,FCLGA4189,Server
[Dual CPU] Intel Xeon Platinum 8338C @ 2.60GHz,32,"81,817","2,439",250,FCLGA4189,Server
Intel Xeon Platinum 8347C @ 2.10GHz,36,"49,386","2,445",210,LGA4189,Server
[Dual CPU] Intel Xeon Platinum 8352V @ 2.10GHz,36,"70,327","1,967",195,FCLGA4189,Server
[Dual CPU] Intel Xeon Platinum 8352Y @ 2.20GHz,32,"68,643","1,913",205,FCLGA4189,Server
Intel Xeon Platinum 8358 @ 2.60GHz,32,"54,416","2,382",250,FCLGA4189,Server
[Dual CPU] Intel Xeon Platinum 8358 @ 2.60GHz,32,"82,893","2,349",250,FCLGA4189,Server
[Dual CPU] Intel Xeon Platinum 8358P @ 2.60GHz,32,"82,052","2,378",240,FCLGA4189,Server
Intel Xeon Platinum 8360Y @ 2.40GHz,36,"54,078","2,489",250,FCLGA4189,Server
Intel Xeon Platinum 8362 @ 2.80GHz,32,"56,787","2,446",265,FCLGA4189,Server
[Dual CPU] Intel Xeon Platinum 8368 @ 2.40GHz,38,"88,038","2,345",270,FCLGA4189,Server
Intel Xeon Platinum 8368Q @ 2.60GHz,38,"46,681","2,568",270,FCLGA4189,Server
[Dual CPU] Intel Xeon Platinum 8369B @ 2.90GHz,32,"87,459","2,499",270,FCLGA4189,Server
[Dual CPU] Intel Xeon Platinum 8370C @ 2.80GHz,32,"86,883","2,467",270,FCLGA4189,Server
Intel Xeon Platinum 8375C @ 2.90GHz,32,"56,202","2,474",300,FCLGA4189,Server
[Dual CPU] Intel Xeon Platinum 8375C @ 2.90GHz,32,"86,393","2,463",300,FCLGA4189,Server
Intel Xeon Platinum 8380 @ 2.30GHz,40,"62,318","2,385",270,FCLGA4189,Server
[Dual CPU] Intel Xeon Platinum 8380 @ 2.30GHz,40,"85,937","2,189",270,FCLGA4189,Server
[Dual CPU] Intel Xeon Platinum 8450H,28,"87,103","2,902",250,FCLGA4677,Server
Intel Xeon Platinum 8454H,32,"62,347","2,831",270,FCLGA4677,Server
[Dual CPU] Intel Xeon Platinum 8457C,48,"109,905","2,564",NA,FCLGA4677,Server
[Dual CPU] Intel Xeon Platinum 8458P,44,"117,136","2,841",350,FCLGA4677,Server
Intel Xeon Platinum 8461V,48,"74,982","2,855",300,FCLGA4677,Server
[Dual CPU] Intel Xeon Platinum 8462Y+,32,"111,234","3,054",300,FCLGA4677,Server
[Dual CPU] Intel Xeon Platinum 8468,48,"121,219","2,967",350,FCLGA4677,Server
Intel Xeon Platinum 8469C,48,"64,513","2,727",350,FCLGA4677,Server
[Dual CPU] Intel Xeon Platinum 8469C,48,"96,642","3,064",350,FCLGA4677,Server
[Dual CPU] Intel Xeon Platinum 8470,52,"109,610","2,485",350,FCLGA4677,Server
Intel Xeon Platinum 8470 @2.00GHz,52,"89,850","3,153",350,FCLGA4677,Server
Intel Xeon Platinum 8475B,1,"3,280","2,581",NA,Unknown,Server
[Dual CPU] Intel Xeon Platinum 8479 @2.00GHz,28,"24,087","2,453",350,FCLGA4677,Server
[Dual CPU] Intel Xeon Platinum 8480+,56,"126,353","2,996",350,FCLGA4677,Server
Intel Xeon Platinum 8481C @ 2.70GHz,4,"11,646","2,469",350,Unknown,Server
Intel Xeon Platinum 8488C,48,"88,667","3,113",385,Unknown,Server
[Dual CPU] Intel Xeon Platinum 8488C,48,"127,207","3,096",385,Unknown,Server
[Quad CPU] Intel Xeon Platinum 8490H,60,"157,156","2,925",350,FCLGA4677,Server
[Dual CPU] Intel Xeon Platinum 8558,48,"105,534","2,554",330,FCLGA4677,Server
[Dual CPU] Intel Xeon Platinum 8558P,48,"133,223","3,217",350,FCLGA4677,Server
[Dual CPU] Intel Xeon Platinum 8559C,48,"117,672","2,590",NA,FCLGA4677,Server
Intel Xeon Platinum 8562Y+,32,"50,189","2,114",300,FCLGA4677,Server
[Dual CPU] Intel Xeon Platinum 8562Y+,32,"102,877","2,912",300,FCLGA4677,Server
Intel Xeon Platinum 8568Y+,48,"79,683","2,741",350,FCLGA4677,Server
[Dual CPU] Intel Xeon Platinum 8568Y+,48,"127,172","3,033",350,FCLGA4677,Server
Intel Xeon Platinum 8570,56,"93,722","3,256",350,FCLGA4677,Server
[Dual CPU] Intel Xeon Platinum 8570,56,"137,588","3,224",350,FCLGA4677,Server
Intel Xeon Platinum 8571N,52,"68,385","1,969",300,FCLGA4677,Server
Intel Xeon Platinum 8575C,1,"3,342","2,593",NA,Unknown,Server
[Dual CPU] Intel Xeon Platinum 8580,60,"114,407","2,402",350,FCLGA4677,Server
Intel Xeon Platinum 8581C @ 2.30GHz,2,"8,040","3,258",NA,Unknown,Server
Intel Xeon Platinum 8592+,64,"84,013","2,411",350,FCLGA4677,Server
[Dual CPU] Intel Xeon Platinum 8592+,64,"139,924","3,215",350,FCLGA4677,Server
Intel Xeon Platinum P-8124 @ 3.00GHz,18,"22,674","2,059",240,FCLGA3647,Server
[Dual CPU] Intel Xeon Platinum P-8124 @ 3.00GHz,18,"43,913","2,096",240,FCLGA3647,Server
Intel Xeon Silver 4108 @ 1.80GHz,8,"9,177","1,550",85,FCLGA3647,Server
[Dual CPU] Intel Xeon Silver 4108 @ 1.80GHz,8,"15,443","1,564",85,FCLGA3647,Server
Intel Xeon Silver 4109T @ 2.00GHz,8,"10,348","1,445",70,FCLGA3647,Server
Intel Xeon Silver 4110 @ 2.10GHz,8,"10,313","1,598",85,FCLGA3647,Server
[Dual CPU] Intel Xeon Silver 4110 @ 2.10GHz,8,"16,922","1,638",85,FCLGA3647,Server
Intel Xeon Silver 4112 @ 2.60GHz,4,"6,540","1,708",85,FCLGA3647,Server
[Dual CPU] Intel Xeon Silver 4112 @ 2.60GHz,4,"12,264","1,746",85,FCLGA3647,Server
Intel Xeon Silver 4114 @ 2.20GHz,10,"13,144","1,684",85,FCLGA3647,Server
[Dual CPU] Intel Xeon Silver 4114 @ 2.20GHz,10,"20,570","1,677",85,FCLGA3647,Server
[Dual CPU] Intel Xeon Silver 4114T @ 2.20GHz,10,"23,985","1,767",85,FCLGA3647,Server
Intel Xeon Silver 4116 @ 2.10GHz,12,"14,918","1,683",85,FCLGA3647,Server
[Dual CPU] Intel Xeon Silver 4116 @ 2.10GHz,12,"24,672","1,700",85,FCLGA3647,Server
Intel Xeon Silver 4116T @ 2.10GHz,12,"15,187","1,781",85,FCLGA3647,Server
Intel Xeon Silver 4123 @ 3.00GHz,8,"14,405","1,967",105,Unknown,Server
Intel Xeon Silver 4208 @ 2.10GHz,8,"10,996","1,695",85,FCLGA3647,Server
[Dual CPU] Intel Xeon Silver 4208 @ 2.10GHz,8,"18,234","1,759",85,FCLGA3647,Server
Intel Xeon Silver 4209T @ 2.20GHz,8,"11,080","1,693",70,FCLGA3647,Server
Intel Xeon Silver 4210 @ 2.20GHz,10,"13,502","1,704",85,FCLGA3647,Server
[Dual CPU] Intel Xeon Silver 4210 @ 2.20GHz,10,"22,617","1,775",85,FCLGA3647,Server
Intel Xeon Silver 4210R @ 2.40GHz,10,"15,188","1,795",100,FCLGA3647,Server
[Dual CPU] Intel Xeon Silver 4210R @ 2.40GHz,10,"23,069","1,813",100,FCLGA3647,Server
Intel Xeon Silver 4214 @ 2.20GHz,12,"16,472","1,777",85,FCLGA3647,Server
[Dual CPU] Intel Xeon Silver 4214 @ 2.20GHz,12,"25,700","1,785",85,FCLGA3647,Server
Intel Xeon Silver 4214R @ 2.40GHz,12,"17,489","1,909",100,FCLGA3647,Server
[Dual CPU] Intel Xeon Silver 4214R @ 2.40GHz,12,"27,384","1,978",100,FCLGA3647,Server
Intel Xeon Silver 4214Y @ 2.20GHz,12,"16,442","1,822",85,FCLGA3647,Server
Intel Xeon Silver 4215 @ 2.50GHz,8,"13,592","1,892",85,FCLGA3647,Server
[Dual CPU] Intel Xeon Silver 4215 @ 2.50GHz,8,"23,091","1,936",85,FCLGA3647,Server
Intel Xeon Silver 4215R @ 3.20GHz,8,"14,683","2,162",130,FCLGA3647,Server
[Dual CPU] Intel Xeon Silver 4215R @ 3.20GHz,8,"25,487","2,179",130,FCLGA3647,Server
Intel Xeon Silver 4216 @ 2.10GHz,16,"21,074","1,806",100,FCLGA3647,Server
[Dual CPU] Intel Xeon Silver 4216 @ 2.10GHz,16,"27,877","1,793",100,FCLGA3647,Server
Intel Xeon Silver 4216R @ 2.20GHz,16,"24,027","1,866",NA,FCLGA3647,Server
Intel Xeon Silver 4309Y @ 2.80GHz,8,"18,791","2,399",105,FCLGA4189,Server
[Dual CPU] Intel Xeon Silver 4309Y @ 2.80GHz,8,"31,073","2,407",105,FCLGA4189,Server
Intel Xeon Silver 4310 @ 2.10GHz,12,"21,903","2,111",120,FCLGA4189,Server
[Dual CPU] Intel Xeon Silver 4310 @ 2.10GHz,12,"34,691","2,009",120,FCLGA4189,Server
Intel Xeon Silver 4310T @ 2.30GHz,10,"20,641","2,078",105,FCLGA4189,Server
Intel Xeon Silver 4314 @ 2.40GHz,16,"29,095","2,179",135,FCLGA4189,Server
[Dual CPU] Intel Xeon Silver 4314 @ 2.40GHz,16,"43,588","2,059",135,FCLGA4189,Server
Intel Xeon Silver 4316 @ 2.30GHz,20,"32,556","2,094",150,FCLGA4189,Server
[Dual CPU] Intel Xeon Silver 4316 @ 2.30GHz,20,"54,341","2,164",150,FCLGA4189,Server
Intel Xeon Silver 4410T,10,"27,245","2,978",150,FCLGA4677,Server
[Dual CPU] Intel Xeon Silver 4410T,10,"45,342","3,052",150,FCLGA4677,Server
Intel Xeon Silver 4410Y,12,"24,948","2,454",150,FCLGA4677,Server
[Dual CPU] Intel Xeon Silver 4410Y,12,"41,869","2,624",150,FCLGA4677,Server
Intel Xeon Silver 4416+,20,"43,659","2,923",165,FCLGA4677,Server
[Dual CPU] Intel Xeon Silver 4416+,20,"69,598","2,900",165,FCLGA4677,Server
Intel Xeon Silver 4509Y,8,"18,749","2,174",125,FCLGA4677,Server
[Dual CPU] Intel Xeon Silver 4509Y,8,"40,931","2,901",125,FCLGA4677,Server
Intel Xeon Silver 4510,12,"32,247","3,107",150,FCLGA4677,Server
[Dual CPU] Intel Xeon Silver 4510,12,"53,790","3,049",150,FCLGA4677,Server
Intel Xeon Silver 4510T,12,"29,119","3,006",115,FCLGA4677,Server
Intel Xeon Silver 4514Y,16,"30,621","2,458",150,FCLGA4677,Server
[Dual CPU] Intel Xeon Silver 4514Y,16,"49,104","2,271",150,FCLGA4677,Server
Intel Xeon W-10855M @ 2.80GHz,6,"12,216","2,708",45,FCBGA1440,"Laptop, Server"
Intel Xeon W-10885M @ 2.40GHz,8,"15,550","2,745",45,FCBGA1440,"Laptop, Server"
Intel Xeon W-11155MLE @ 1.80GHz,4,"8,502","1,862",25,FCBGA1787,Mobile/Embedded
Intel Xeon W-11555MLE @ 1.90GHz,6,"11,488","2,726",25,FCBGA1787,Server
Intel Xeon W-11555MRE @ 2.60GHz,6,"17,484","3,201",45,FCBGA1787,"Server, Mobile/Embedded"
Intel Xeon W-11855M @ 3.20GHz,6,"17,433","3,140",45,FCBGA1787,"Laptop, Server"
Intel Xeon W-11865MLE @ 1.50GHz,8,"15,917","2,813",25,FCBGA1787,"Server, Mobile/Embedded"
Intel Xeon W-11865MRE @ 2.60GHz,8,"18,550","2,771",45,FCBGA1787,"Server, Mobile/Embedded"
Intel Xeon W-11955M @ 2.60GHz,8,"21,684","3,210",45,FCBGA1787,"Laptop, Server"
Intel Xeon W-1250 @ 3.30GHz,6,"13,657","2,831",80,FCLGA1200,Server
Intel Xeon W-1250E @ 3.50GHz,6,"12,566","2,565",80,FCLGA1200,Server
Intel Xeon W-1250P @ 4.10GHz,6,"14,283","2,973",125,FCLGA1200,"Desktop, Server"
Intel Xeon W-1250TE @ 2.40GHz,6,"8,954","2,276",35,FCLGA1200,Mobile/Embedded
Intel Xeon W-1270 @ 3.40GHz,8,"17,456","3,001",80,FCLGA1200,Server
Intel Xeon W-1270E @ 3.40GHz,8,"18,635","2,990",80,FCLGA1200,"Server, Mobile/Embedded"
Intel Xeon W-1270P @ 3.80GHz,8,"18,058","3,026",95,FCLGA1200,Server
Intel Xeon W-1270TE @ 2.00GHz,8,"13,553","2,796",35,FCLGA1200,Server
Intel Xeon W-1290 @ 3.20GHz,10,"20,112","3,081",80,FCLGA1200,Server
Intel Xeon W-1290E @ 3.50GHz,10,"19,060","2,755",95,FCLGA1200,Server
Intel Xeon W-1290P @ 3.70GHz,10,"22,373","3,166",125,FCLGA1200,Server
Intel Xeon W-1290T @ 1.90GHz,10,"18,409","2,974",35,FCLGA1200,Server
Intel Xeon W-1290TE @ 1.80GHz,10,"14,501","2,708",35,FCLGA1200,Mobile/Embedded
Intel Xeon W-1350 @ 3.30GHz,6,"18,742","3,440",80,FCLGA1200,Server
Intel Xeon W-1350P @ 4.00GHz,6,"19,611","3,489",65,FCLGA1200,Server
Intel Xeon W-1370 @ 2.90GHz,8,"22,948","3,459",80,FCLGA1200,"Desktop, Server"
Intel Xeon W-1370P @ 3.60GHz,8,"23,499","3,474",125,FCLGA1200,"Desktop, Server"
Intel Xeon W-1390 @ 2.80GHz,8,"23,902","3,414",80,FCLGA1200,Server
Intel Xeon W-1390P @ 3.50GHz,8,"24,927","3,558",125,FCLGA1200,"Desktop, Server"
Intel Xeon W-2102 @ 2.90GHz,4,"5,142","1,674",120,FCLGA2066,Server
Intel Xeon W-2104 @ 3.20GHz,4,"5,539","1,743",120,FCLGA2066,Server
Intel Xeon W-2123 @ 3.60GHz,4,"8,519","2,192",120,FCLGA2066,Server
Intel Xeon W-2125 @ 4.00GHz,4,"9,986","2,550",120,FCLGA2066,Server
Intel Xeon W-2133 @ 3.60GHz,6,"12,598","2,266",140,FCLGA2066,Server
Intel Xeon W-2135 @ 3.70GHz,6,"14,376","2,601",140,FCLGA2066,Server
Intel Xeon W-2140B @ 3.20GHz,8,"17,308","2,547",NA,FCLGA2066,Server
Intel Xeon W-2145 @ 3.70GHz,8,"18,021","2,586",140,FCLGA2066,Server
Intel Xeon W-2150B @ 3.00GHz,10,"20,496","2,674",NA,FCLGA2066,Server
Intel Xeon W-2155 @ 3.30GHz,10,"20,793","2,580",140,FCLGA2066,Server
Intel Xeon W-2170B @ 2.50GHz,14,"24,448","2,459",NA,FCLGA-2066,Server
Intel Xeon W-2175 @ 2.50GHz,14,"23,507","2,469",140,FCLGA2066,Server
Intel Xeon W-2191B @ 2.30GHz,18,"28,325","2,510",140,FCLGA2066,Server
Intel Xeon W-2195 @ 2.30GHz,18,"28,017","2,434",140,FCLGA2066,Server
Intel Xeon W-2223 @ 3.60GHz,4,"8,606","2,202",120,FCLGA2066,Server
Intel Xeon W-2225 @ 4.10GHz,4,"10,420","2,625",105,FCLGA2066,Server
Intel Xeon W-2235 @ 3.80GHz,6,"14,232","2,609",130,FCLGA2066,Server
Intel Xeon W-2245 @ 3.90GHz,8,"19,417","2,730",155,FCLGA2066,Server
Intel Xeon W-2255 @ 3.70GHz,10,"22,559","2,699",165,FCLGA2066,"Desktop, Server"
Intel Xeon W-2265 @ 3.50GHz,12,"25,720","2,770",165,FCLGA2066,Server
Intel Xeon W-2275 @ 3.30GHz,14,"27,896","2,743",165,FCLGA2066,Desktop
